"date" "kwh" "htdd" "cldd"
1980-01 738.6046 2038 0
1980-02 739.8486 1509 0
1980-03 699.2203 1289 0
1980-04 660.3268 638 13
1980-05 623.9932 269 37
1980-06 907.1337 61 134
1980-07 1060.961 18 179
1980-08 785.2962 12 116
1980-09 605.337 222 51
1980-10 656.559 520 0
1980-11 694.8379 1047 0
1980-12 749.4236 1572 0
1981-01 755.5594 1986 0
1981-02 797.0309 1471 0
1981-03 750.9313 1296 0
1981-04 709.3849 614 0
1981-05 637.5066 351 0
1981-06 1133.0847 21 193
1981-07 929.876 31 88
1981-08 842.1578 34 109
1981-09 717.2228 184 78
1981-10 697.1511 391 10
1981-11 701.0539 994 0
1981-12 729.7745 1504 0
1982-01 818.4623 1963 0
1982-02 874.4414 1649 0
1982-03 796.1737 1238 0
1982-04 793.8364 763 0
1982-05 705.3146 237 65
1982-06 892.4639 95 99
1982-07 1000.9371 42 115
1982-08 960.3031 77 157
1982-09 695.5874 237 12
1982-10 780.8089 723 0
1982-11 757.7033 1090 0
1982-12 809.0982 1812 0
1983-01 845.4919 1654 0
1983-02 929.6187 1356 0
1983-03 821.2216 859 0
1983-04 824.6951 731 0
1983-05 616.0739 383 0
1983-06 973.1624 22 109
1983-07 1203.7235 3 173
1983-08 1084.9725 16 170
1983-09 784.2652 214 33
1983-10 790.134 378 10
1983-11 790.5405 979 0
1983-12 833.4451 1676 0
1984-01 893.4361 1747 0
1984-02 905.2006 1488 0
1984-03 804.4663 1191 0
1984-04 818.2816 593 0
1984-05 685.0469 379 11
1984-06 848.8088 85 57
1984-07 1388.0083 0 267
1984-08 952.5546 54 86
1984-09 824.6161 335 6
1984-10 947.8962 518 0
1984-11 996.1445 1020 0
1984-12 1000.4176 1428 0
1985-01 979.3463 1687 0
1985-02 1024.2459 1502 0
1985-03 916.4092 1474 0
1985-04 913.7472 819 0
1985-05 837.3509 213 60
1985-06 1059.7151 65 125
1985-07 1462.6986 21 247
1985-08 1193.191 8 172
1985-09 922.1446 296 16
1985-10 1001.1823 412 11
1985-11 1082.3815 890 0
1985-12 1078.074 1421 0
1986-01 1108.5102 1751 0
1986-02 1004.7044 1148 0
1986-03 1015.2756 1107 0
1986-04 1008.4199 507 8
1986-05 843.5009 307 0
1986-06 1088.4656 24 111
1986-07 1525.9749 1 246
1986-08 1146.4632 28 162
1986-09 946.111 244 32
1986-10 1018.1378 770 0
1986-11 1214.4313 1296 0
1986-12 1214.5094 1860 0
1987-01 1201.6118 2246 0
1987-02 1051.9257 1310 0
1987-03 1033.725 876 0
1987-05 1018.5836 402 16
1987-04 1044.9301 98 73
1987-06 1084.6673 40 87
1987-07 1516.5502 1 226
1987-08 1056.226 65 60
1987-09 1038.7038 155 23
1987-10 1099.7894 589 0
1987-11 1273.5528 1069 0
1987-12 1291.9282 1702 0
1988-01 1311.902 2063 0
1988-02 1232.5501 1714 0
1988-03 1161.4901 1226 0
1988-04 1150.006 652 0
1988-05 1243.7965 275 34
1988-06 1285.9397 72 99
1988-07 1468.5152 12 130
1988-08 1277.3977 22 129
1988-09 1317.6401 154 98
1988-10 1215.2719 626 0
1988-11 1404.2361 1159 0
1988-12 1401.5841 1761 0
1989-01 1413.0167 2238 0
1989-02 1243.6018 1798 0
1989-03 1183.1919 1283 0
1989-04 1215.1113 737 0
1989-05 1316.5309 346 19
1989-06 1403.631 34 105
1989-07 1768.7684 0 218
1989-08 1446.6966 51 148
1989-09 1422.0448 133 50
1989-10 1396.8562 586 0
1989-11 1581.5227 1056 0
1989-12 1489.944 1302 0
1990-01 1581.3173 1662 0
1990-02 1487.1295 1564 0
1990-03 1372.799 1285 0
1990-04 1347.5551 589 12
1990-05 1513.2999 223 61
1990-06 1590.8581 57 107
1990-07 1869.2675 0 232
1990-08 1613.7267 12 145
1990-09 1419.2581 196 36
1990-10 1390.2649 715 0
1990-11 1637.177 956 0
1990-12 1698.2263 1535 0
1991-01 1743.5951 1544 0
1991-02 1593.9092 1285 0
1991-03 1454.6516 981 0
1991-04 1371.0926 538 0
1991-05 1388.9927 331 0
1991-06 1461.412 46 66
1991-07 1890.7433 23 158
1991-08 1613.5963 29 100
1991-09 1392.0624 255 11
1991-10 1399.8257 673 0
1991-11 1688.7646 941 0
1991-12 1746.0756 1630 0
1992-01 1894.7542 2084 0
1992-02 1723.6871 1478 0
1992-03 1577.3233 1215 0
1992-04 1564.4171 779 0
1992-05 1537.2842 178 23
1992-06 1543.5306 140 27
1992-07 2135.2102 0 225
1992-08 1890.1047 52 148
1992-09 1512.6835 193 47
1992-10 1438.4143 503 0
1992-11 1862.6778 1045 0
1992-12 1786.589 1298 0
1993-01 1841.8235 1579 0
1993-02 1719.1702 1241 0
1993-03 1705.9069 1095 0
1993-04 1760.4793 829 0
1993-05 1731.7207 437 0
1993-06 1892.2031 93 107
1993-07 2374.2682 9 256
1993-08 2303.8092 0 241
1993-09 1800.3527 227 70
1993-10 1698.0838 602 6
1993-11 1965.3176 1017 0
1993-12 2091.0615 2087 0
1994-01 2143.009 1762 0
1994-02 1980.502 1238 0
1994-03 1906.672 1389 0
1994-04 1929.726 651 0
1994-05 1900.038 413 0
1994-06 2019.895 43 65


