 temperature   jour   Ventes 
21  6  25117
26.6  4  22383
20.2  1  19076
14.9  4  13451
17.5  6  24633
24.6  5  20866
20.7  7  32469
17.4  3  15192
14.9  7  27818
20.2  7  31261
30.6  5  24308
29.8  7  42244
28.2  6  32899
23.2  1  18807
20.7  1  17856
20.1  1  17865
15.3  1  15622
25.3  6  29756
12.3  6  19158
35.4  3  29982
11.8  1  14836
15.1  5  15060
18.8  3  16992
25.6  5  21452
14.6  7  26186
25.4  7  35775
14.5  1  12866
14.5  2  15030
10.1  7  22303
22.3  6  27465
20.6  5  18341
20.3  4  16375
8.5  1  22238
25.1  2  22110
17.7  4  18243
16.2  1  15498
14.5  5  15176
8.4  4  19336
25.4  5  22595
29.9  7  41425
18.5  2  17672
16.8  6  21569
13.3  7  25079
16.7  3  15081
23.4  4  20555
27.6  2  24509
32.4  6  36444
6.8  3  11691
15.3  7  25944
21.4  4  19282
17  5  15548
16.9  4  17474
23.9  2  21304
17.5  6  24321
29.4  7  42749
20.1  3  18944
19.4  2  17150
23.7  3  21204
22.5  5  20550
23.7  1  19622
20.2  2  19419
25.4  1  21323
16.8  7  27950
10.9  2  13697
13.4  3  16474
18.8  6  23078
14.3  2  15156
17  1  17062
22.8  4  21782
21.9  5  19040
17.5  2  14544
25.6  2  21594
23.8  4  20747
22.3  2  19533
14.7  5  16064
20.3  5  19033
19.2  4  17166
28  2  22463
17.9  3  16495
14.5  6  21168
23.5  4  21135
21.1  3  17640
23.5  6  26731
32.7  1  29165
25  5  20421
24.3  7  36381
11.1  7  22452
20.4  4  19874
17.2  5  16484
15.2  7  26619
22.4  5  19429
24.5  6  27884
24.9  1  21093
18.7  6  23513
16.2  1  15541
23.4  3  19819
26.1  4  21772
17.6  1  16684
18.2  2  15640
21.1  2  15540
21.6  5  18743
24.7  5  21260
27.2  4  24190
20.1  2  17956
30.4  6  35062
20.6  5  18249
13.2  6  19667
21.2  6  24942
23.6  3  20783
21.9  6  27167
34  2  47173
23.3  5  19558
28.1  7  40501
20  2  15966
22.5  1  17607
17.3  5  14634
11.9  6  17316
26.8  3  22253
28  5  23810
20.3  2  19491
15.8  3  15314
13.1  2  14565
22.9  6  27695
17.7  4  17491
23  6  28022
17.9  7  28804
19.2  6  25399
18.3  6  23435
18.8  7  28276
18.8  3  17731
16.2  4  18145
24.7  4  19762
17  2  14530
17.2  6  22694
16.1  1  16762
25  7  35613
18.9  6  24137
14.1  5  15729
11.7  6  19942
13.5  1  14327
19.9  1  18185
15.2  3  15385
16.2  4  18197
23.8  3  22981
13.4  2  13814
22.4  3  19212
18.8  3  16581
18.9  4  18681
18.4  7  29752
10.9  7  22488
16.2  4  14729
18.3  3  15942
23.5  2  21761
29.9  2  25935
17.2  3  15723
20.9  2  32268
20.4  1  18082
14.5  3  13715
18.8  6  23635
21.3  6  26429
22.6  2  18936
17.4  5  18268
15.3  1  14847
22.8  3  20513
15.7  1  16962
12.2  4  14212
16.8  7  28796
18.2  3  16837
17  1  16547
17  7  28855
15.3  5  16690
21.2  3  19383
19.3  1  19637
14.5  2  15627
13.2  2  15048
23  7  33638
18.2  6  23107
19  6  24100
18.3  2  16717
21.7  5  20725
16.2  3  14512
18.3  6  23750
18.3  4  19655
22.3  4  19365
13.4  6  20254
28  6  31480
10.4  1  12694
16.7  1  17634
26.3  2  21790
30.1  4  24224
15  3  14076
22.7  2  19966
19.2  6  24791
12.4  7  22134
12.5  3  14054
21.4  3  19890
22.5  1  34935
29  5  24612
19.4  3  16058
16.3  7  28336
17.2  6  23655
16.7  7  28171
24.4  2  20872
20.8  4  19329
17.3  3  16573
24.8  7  37255
14.9  3  15536
18.3  5  17313
23.6  1  20755
19.7  5  18240
29.8  4  24519
22.3  2  19471
22.4  4  18775
22.7  7  34206
16.9  2  17020
17.3  7  26324
19  5  18120
23  5  19928
19.1  4  15950
17  7  27163
11.3  7  24306
18.3  3  16062
16.6  4  15907
16.6  5  14302
21  4  17815
13.7  7  25044
22.5  4  19627
27.6  1  24396
16.9  1  17537
38  7  52603
26.1  2  21775
30  2  24450
23.5  7  34367
17  4  16247
20.3  4  16952
11.5  6  20652
12.1  4  14869
17.5  1  14786
27.8  7  39378
17.1  6  23253
15.7  5  16483
18.3  4  18521
26.2  3  21353
28.4  7  40169
19.8  5  18133
21.1  5  18610
16.4  4  15778
27.4  3  22396
13.1  1  16055
21.5  2  16719
25.5  3  21832
25.2  6  30384
17  2  15003
14.6  1  17192
17.4  6  22712
13.1  7  23600
27.9  3  23470
21.9  4  17440
21.6  1  19532
30.5  1  24634
16.9  7  29641
20.7  4  19029
15  5  17063
16.1  3  16440
19.3  2  17876
18.4  4  17640
22.1  4  20039
13  2  14669
8.2  6  17593
20.6  2  17313
19.9  3  17429
11.9  1  12277
17.5  2  16669
26.1  4  21182
18.9  6  26169
27  7  38592
16.5  5  17319
26.1  5  22345
29.9  5  24750
22.1  3  19089
13.8  5  14667
31.3  1  44094
11.1  7  21992
14.8  5  15394
20.1  1  17589
21.3  4  18141
14.2  3  14460
18.6  5  15445
21.8  1  18402
18.8  3  18442
22.2  1  19086
22  6  26534
17.5  6  23558
20.8  1  18894
26.8  1  23137
19.3  7  31230
18.8  5  16837
19.6  5  17193
25.1  2  21217
16.9  3  16586
